Value,Units,Country,Reference Year,Reference,Notes
8410,hours/year,USA,2007,Process Design and Economics for Conversion of Lignocellulosic Biomass to Ethanol: Thermochemical Pathway by Indirect Gasification and Mixed Alcohol Synthesis,
7896,hours/year,UK,2009,https://doi.org/10.1016/j.cej.2008.06.014,
7200,hours/year,Italy,2015,http://dx.doi.org/10.1016/j.fuproc.2014.11.003,
7500,hours/year,Spain,2018,https://doi.org/10.1016/j.wasman.2018.03.039,
8600,hours/year,Iran,2018,https://doi.org/10.1016/,
7680,hours/year,Italy,2012,http://dx.doi.org/10.1016/j.energy.2012.03.048,
8000,hours/year,Mexico,2019,https://doi.org/10.1016/j.energy.2019.116095,
6000,hours/year,Poland,2014,https://doi.org/10.1016/j.energy.2014.01.015,
8766,hours/year,USA,2020,https://doi.org/10.1016/j.compchemeng.2020.106758,
8000,hours/year,UK,2022,https://doi.org/10.1016/j.enconman.2022.115346,
8000,hours/year,Europe,2014,https://doi.org/10.1002/er.3038,
7500,hours/year,Europe,2018,https://doi.org/10.1016/j.energy.2018.02.109,
7896,hours/year,UK,2009,http://dx.doi.org/10.1016/j.cej.2008.06.014,given as days/year
